movie_id,title,num_ratings,avg_rating
6460,"Trial, The (Procès, Le) (1962)",125,4.9
174053,Black Mirror: White Christmas (2014),100,4.75
7121,Adam's Rib (1949),100,4.75
177593,"Three Billboards Outside Ebbing, Missouri (2017)",200,4.75
3224,Woman in the Dunes (Suna no onna) (1964),100,4.75
31364,Memories of Murder (Salinui chueok) (2003),125,4.7
2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),150,4.67
43376,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),100,4.63
55167,Tekkonkinkreet (Tekkon kinkurîto) (2006),100,4.63
2131,Autumn Sonata (Höstsonaten) (1978),100,4.63
